,uJAVA,F0378,F0395,F0410,F0430,gSDSS,F0515,rSDSS,F0660,iSDSS,F0861,zSDSS
0,20.30736162288358,19.901781929626708,19.685656543607045,19.69331755707397,19.154682727410677,18.36164512386666,17.922119166116296,17.397759313820195,17.243767264385834,16.962530406810156,16.73157227161019,16.657638417917447
1,19.063442203170375,18.773743574041063,18.560507749793288,18.508813767362046,17.710849768811443,17.131598967406767,16.72037578388599,16.190100515821413,16.0779850775914,15.753488501327945,15.51689777035227,15.447587487205796
2,21.193286221799482,20.856793176219295,20.63365864745,20.449765517337532,20.341638462900363,19.290425584505336,18.82500742306786,18.278229459195234,18.120112644657492,17.836384651579834,17.594238848664997,17.518159295266177
3,18.476992706587126,18.17166062105942,17.934456513992085,17.904841826095968,17.227217614525085,16.606888744654633,16.197759196104315,15.689303688606804,15.580854635361055,15.271967472928829,15.04882971810413,14.980228285518866
4,20.643939983461216,20.25699139471652,20.169421510769062,19.99978160667592,19.66072855977026,18.843734361815187,18.419423420214883,17.933232424914877,17.767618601684624,17.530052112275616,17.316875008375995,17.243889567867754
5,18.680192498013067,18.42293038952955,18.222126282493303,18.150029399202847,17.43945716582386,16.92701261568977,16.547160620044043,16.070515384743498,15.969445765882087,15.680597398214427,15.467973943863724,15.406903050393
6,20.157107832080158,19.813751937467973,19.675963679599274,19.40581800397851,19.310260887824256,18.26929652210454,17.81663730930407,17.29907214840341,17.120396025530816,16.873423341376245,16.652760596706237,16.57048197110295
7,17.343177809081304,16.98142813668509,16.993872535127995,16.4609767922379,15.9739626416627,15.406236835185405,15.069609352602477,14.53909455707751,14.407633560900464,14.125968968998336,13.925383962797522,13.836871432630055
8,19.846023382262484,19.43091159319161,19.182157322287107,19.22823612307752,18.642353244009758,17.821691172382835,17.37163890940129,16.825334548940567,16.66791279736491,16.370670657650706,16.130639142958763,16.05216498634703
9,16.98421139570005,16.628688301397606,16.59521415631062,16.169734020078337,15.60213751948554,15.024895569185892,14.675254372317493,14.129542962441171,14.000520394296238,13.706521428546166,13.489863326350012,13.409297458056948
10,19.78921838911573,19.451386566768115,19.15684315895875,19.19102793014419,18.533578492150802,17.817770386911885,17.387620676224763,16.854060830278264,16.73177477295369,16.41577322158151,16.183880327849533,16.110339152323302
11,17.964972162956375,17.582155999340618,17.54892435067843,17.07640708416377,16.52589501954094,15.909709967242618,15.550995748920023,14.95305092142004,14.809466438901971,14.481439990731193,14.24491263810353,14.15358238581559
12,19.752641351734326,19.37897218351992,19.253912973526578,18.969884731568726,18.83509776174472,17.761937069541773,17.297525639536335,16.745709016740882,16.557298835566105,16.28972097803741,16.05508035689376,15.967122768113386
13,21.383756119365337,20.98271977551263,20.870762634269056,20.591374069509193,20.400932381159578,19.30236917152221,18.824624182192156,18.25526410332859,18.060496710136313,17.782100688054992,17.54051171264129,17.4495299577419
14,14.528918558728506,14.225590273380357,14.164047036476735,13.486698597361586,13.253968706122732,12.690422045045262,12.460220985763648,11.880118740742038,11.77200415121627,11.458955345771088,11.281217919360698,11.1743025577533
15,19.898454420196153,19.559160046637075,19.424286911340282,19.162915589777015,19.066359094817717,18.056977492192065,17.61255961822188,17.10528679636338,16.93102816059059,16.688151964167105,16.47023674849177,16.389816104626554
16,16.65984831693048,16.321184717108146,16.367536945579687,15.692621989834468,15.289490453990142,14.698005001121722,14.379048958464178,13.828309380704798,13.693959546696012,13.402654590098212,13.203752177013135,13.106665449546853
17,19.85493947636847,19.457463328169908,19.370555030015563,19.114600288046933,18.89408655463865,17.88599402124268,17.426190405358852,16.902336234336033,16.721299610444504,16.469776295754755,16.24707901003225,16.164104384089278
18,19.55620821710155,19.217629014605233,18.93824661376441,18.969409746069445,18.37130191174818,17.668857190761226,17.252612283551397,16.744972510922388,16.619981328078058,16.331125542937006,16.112108722266022,16.041921473059087
19,19.401767129943828,19.109703638371844,18.91761437445141,18.827826396081573,18.023371564017726,17.461853851385353,17.058392165457597,16.53105846149621,16.42057577613988,16.099955881571795,15.865936988498564,15.797341026397762
20,20.31050002813062,19.89982848677935,19.776937190487644,19.624379877941628,19.253128627012146,18.36383861504807,17.91787916677301,17.382714822851415,17.204183661621165,16.939107615677063,16.706632626291086,16.626759898613237
21,18.923084925975935,18.617750669362074,18.467217611421475,18.3230003940806,17.56030988208464,17.013928805804234,16.625928263168532,16.114334258751658,16.003085849047558,15.702177846004284,15.478396543669584,15.411496947807215
22,20.545536270462573,20.19922214091418,19.961918185471067,19.77841745502963,19.666532905086747,18.57595488196315,18.098838726185917,17.52356324268448,17.36032026242269,17.056601643041034,16.800977901212256,16.721379093481723
23,20.687372943368775,20.266757573823497,20.076580495030708,20.031297450951087,19.560954514430723,18.66791831434098,18.211305913049202,17.67456730470426,17.49924109069091,17.22969091744924,16.996823053068624,16.9180574346861
24,19.672922643168665,19.39624732208013,19.186242761503017,19.12948334523254,18.364874952448606,17.813193722197624,17.41382568008418,16.90513869158234,16.797613256450607,16.487415918374918,16.260751824541362,16.195576303738072
25,19.733425716179546,19.36616853724101,19.083220830863205,19.145305650172347,18.53482993876726,17.782261375740507,17.350429548900706,16.828776337424507,16.690858055097575,16.400669090060582,16.174374226891594,16.101442137001193
26,17.91227496962692,17.595600919399764,17.473896023346985,17.16040642645391,16.57048381953584,16.021678568025674,15.671209234393919,15.11591974517258,14.985751508121826,14.67506132395443,14.444934880319554,14.370854262788697
27,18.725271652939195,18.42765711510545,18.20416043588442,18.156995291068803,17.44368061382496,16.83607315550591,16.425879034454656,15.911873444589219,15.803584005960234,15.490632947076456,15.264522815140271,15.196510249788242
28,17.55370537774635,17.22154792295102,17.253291355741332,16.603021699773517,16.20415963720392,15.627424659567746,15.311936827592136,14.772642268951836,14.640777532816681,14.355759330742707,14.160937069990498,14.067407599954588
29,19.03624461895857,18.734728891772775,18.50664142260477,18.46439977836652,17.746353522298936,17.129060963335807,16.715157286863818,16.195250577964043,16.08611625233395,15.768811118186468,15.540217816496433,15.471500290810491
30,20.175932828489533,19.835381560223926,19.61537657785327,19.39390237744564,19.310214229838866,18.177709776295604,17.694894912961296,17.12311444386827,16.948709739961764,16.65570638733855,16.406272394290685,16.322810974171702
31,19.180625655556305,18.889024952606434,18.668154347768542,18.625008372811223,17.94252911824833,17.34994613012054,16.948099879067552,16.45596031877392,16.352599051390083,16.053946124724373,15.838133119716183,15.773124685435295
32,20.437886529045798,20.048128937167554,19.966106202751636,19.77000355638536,19.450829373730564,18.60837088077276,18.179396134649092,17.679759502574914,17.51052377009198,17.264948191753838,17.046464344255163,16.970181408663382
33,20.033397221024178,19.635443447600544,19.555052233183325,19.306910641382277,19.069091902292044,18.102372656092246,17.65098756984038,17.13148397835114,16.95343508787655,16.702940348497435,16.480693489586614,16.39967004668718
34,20.671075464823897,20.269364961941044,20.104993732520818,20.03946515778134,19.588780991730573,18.78574210780638,18.35279535547329,17.839291119758574,17.677136298309463,17.413182616353957,17.18708793522689,17.114001324449635
35,18.922701999554288,18.595693884634102,18.332534786206807,18.335587285671032,17.75849736414532,17.081808287112757,16.674643816354102,16.17134275564799,16.05012182864755,15.760391173301151,15.542641432193196,15.473869367655201
36,20.72260991845141,20.370211317285147,20.23826481739188,19.963351344470727,19.857142116431213,18.815087483563982,18.36167536759597,17.83429945319535,17.65328008113356,17.399965112768527,17.17497674554546,17.091053698940296
37,20.547195654161058,20.173252378796978,20.03757440186892,19.751078024519675,19.62544653863849,18.50226759583889,18.02622084054839,17.47361817557677,17.282386973172542,17.016370144189917,16.78335170447702,16.693785769745784
38,19.616209735818906,19.28502209853435,19.01517008918982,19.01422401964909,18.422912716573773,17.733496893399757,17.320425861458965,16.79614392924915,16.671602121489407,16.365851047388595,16.13814449820714,16.06620018255142
39,20.036776451414042,19.615630552523374,19.38609351838767,19.412677271594905,18.860240083937065,18.0155538053553,17.561459752776464,17.023602125370488,16.861566466554162,16.576099550119565,16.339961665673897,16.26269410997466
40,18.366017490258827,18.02428220418175,17.9573245412777,17.556457400300754,17.008938370391228,16.449381365307147,16.106797494466473,15.562377109664213,15.43259752932027,15.137474587190896,14.920320457199171,14.841485491027676
41,19.198786272671253,18.898894745778485,18.7208226151719,18.613130918662428,17.810691158609398,17.245545807695127,16.842787070818463,16.313401886909475,16.201666186434426,15.881872211781134,15.647815717271092,15.578605613944806
42,20.141136279873567,19.71877015029958,19.522997175888232,19.493165338714235,19.00559282304215,18.135522903260327,17.68276653427404,17.147249548512487,16.976757285206176,16.702681507125423,16.469135959010007,16.390214458228947
43,20.123321423251813,19.715028520114735,19.54965452372148,19.483000061153295,19.03835256049866,18.208641605717826,17.770438345272016,17.258778605430503,17.09393789392728,16.83615484646229,16.612986708317543,16.538785532276606
44,20.40119167488285,20.000504695723187,19.730056078803415,19.796098694055104,19.186976412139686,18.378705751849544,17.930334206291004,17.388457275091447,17.236249444551508,16.939287597586507,16.702475078867472,16.625839757920723
45,17.90663989952532,17.558139784975005,17.530231086812,17.050717877959627,16.560506016189468,16.005637863276274,15.671158595979378,15.143991362415798,15.013276382837601,14.732461177407783,14.530512728383243,14.446772496591162
46,20.512033824278003,20.124194951681492,20.03992413039008,19.77204586979059,19.573882798412978,18.579892132995532,18.126565470212142,17.593346304825236,17.410553789693598,17.15193833594374,16.923459621537447,16.84038478165164
47,19.156529264697312,18.851190465070705,18.61996030631503,18.58159033960795,17.867901543301485,17.245626755600384,16.831340077648715,16.308568621488877,16.1979955531325,15.878988783873002,15.648966839555907,15.578832688428328
48,20.255953815150043,19.847532439371133,19.75868973466355,19.512768592095238,19.2577175828523,18.2597971677004,17.79847510477946,17.256385049906417,17.071667452072607,16.80696709949492,16.57479131526807,16.489655954873072
49,20.21918874448474,19.86967319116983,19.696331493890984,19.412830543895186,19.34910892800151,18.1846928641561,17.703736433970285,17.155253520355654,16.965829889004844,16.701950498434595,16.47024378306736,16.381257339254848
50,17.951491660863038,17.591458800253218,17.58088751339921,17.042607596045446,16.573400142414457,15.997383371600577,15.659638488926543,15.101923146888609,14.963716211249166,14.660661277184499,14.44823893730245,14.355970895516394
51,20.878028758043044,20.44952216657608,20.266829451836248,20.194637629294817,19.731966531639188,18.84324511409186,18.388490566121554,17.819415290601395,17.638334984275673,17.344928896396677,17.09582060534062,17.01237737107193
52,20.12113429015931,19.726486591581757,19.508293060369827,19.51191895729344,18.97818160266536,18.227102503553116,17.800750802414683,17.28189676453776,17.134690263273356,16.85175703290261,16.623167081418718,16.551553379838207
53,20.399319269178378,19.970613904906827,19.76683098649547,19.732639906948254,19.234413700920083,18.349538767089584,17.891578756882566,17.328154855524705,17.15151443681727,16.858350788219177,16.61153600610054,16.529469841691
54,18.20608889316985,17.85284693101818,17.8046226624088,17.386028727624637,16.82801393247779,16.253793543746195,15.90607394176831,15.355939195113033,15.225339540064153,14.927834228420107,14.70932445404052,14.628687051435632
55,19.52477383330647,19.13877335126465,18.848668031912734,18.89545015530334,18.275823553680155,17.48781876861362,17.045714305371607,16.471654466752234,16.320461424965956,15.9956302029084,15.744837533978021,15.663850874614162
56,19.790033614372298,19.406493374539842,19.336832650888397,19.078048375527167,18.864500428497003,17.933960992622747,17.495165189833497,16.98613234248615,16.811589086229468,16.564822054036323,16.345036037489432,16.26534070630458
57,19.460603209152364,19.082969691927357,18.88805402196032,18.8575100289887,18.34775305610502,17.628835966694567,17.214275376937145,16.705106897768772,16.560999370775434,16.281693504910915,16.05616680117318,15.984003245507342
58,18.20216189051113,18.06358835391697,18.030030709382913,17.789689710596893,17.44562415774303,17.053690524088545,16.77431580720083,16.481722474999508,16.365029268447092,16.199410081717865,16.034688167984715,15.974559099477364
59,21.146151695210293,20.709540372523115,20.502376814751884,20.45833042010798,19.962158362971106,19.04078148434015,18.574591791984595,17.988662636561443,17.80324264353583,17.49909724987346,17.24295123225509,17.15710535807498
60,21.258398162150858,20.884095032129764,20.74645467362614,20.458457903997225,20.336932995956683,19.21637279665498,18.741886042504618,18.18400503847665,17.9923905597815,17.72227815997978,17.486395552803067,17.395870988478908
61,19.193093459794547,18.866956688695346,18.602484734390984,18.60551717166858,17.88737294260632,17.212294851644934,16.78286784046396,16.24453638605595,16.12877589427823,15.800413577929051,15.563944607673912,15.48975682149372
62,20.141475886241196,19.72549759466957,19.606347292013538,19.425412454184748,19.08414272619272,18.114771421109037,17.651303916836753,17.1064046041702,16.921590025132772,16.65396309554136,16.41992741627147,16.335430403273502
63,18.567983574304062,18.27022328978861,18.04788786156748,17.990345368135465,17.275842029031796,16.661798508276718,16.249151699417382,15.719813206832718,15.608137647269798,15.284511518408435,15.051196029501831,14.981852123800326
64,19.193823131729275,18.898121755617797,18.712244405941274,18.594156840863526,17.824464496560758,17.269232653730214,16.873716924134563,16.339918702593298,16.22602384367752,15.90394843601944,15.6685727901979,15.599680443413867
65,20.25413608829038,19.847807989733035,19.736314658443128,19.558520042814777,19.217863226315423,18.299410905148,17.84856419805977,17.32005109077659,17.14117195630448,16.882656129122566,16.65463589175172,16.574671049753363
66,20.018987771466627,19.63907914407904,19.40112465416182,19.429242288038456,18.868207087310893,18.124415853198393,17.698675186794205,17.193573789647104,17.053222394183003,16.77816406420794,16.55793236706678,16.487035981634804
67,19.968911097453237,19.600074184248257,19.292924691282536,19.3731906628549,18.7318659138553,17.957407285793767,17.516679018952885,16.976843235233478,16.8363746105825,16.53304104918107,16.299143520509705,16.2239049587287
68,17.040238432308744,16.718332260729404,16.726871452348032,16.11153553265039,15.719537831253714,15.16409846348754,14.853337003243013,14.327561788452574,14.198409411332841,13.918864520936097,13.727414078575539,13.637266434814986
69,20.07987634546277,19.735959904468913,19.59595985952371,19.332656662122925,19.210514296715786,18.208456627150532,17.76332750254,17.233595031677034,17.05301825802274,16.79500766005842,16.566534013209818,16.480911513292103
70,18.55489674186697,18.29813165690057,18.09348411911641,18.024570539783756,17.28579882934085,16.778499211754337,16.39695694175728,15.91473723493187,15.813328550864282,15.520259594370383,15.30496075384032,15.243936907117098
71,14.359554889713088,14.081090152325732,14.00754761862028,13.254243790739055,13.018355575286812,12.425804420236695,12.205858021763197,11.59792985626489,11.484367731915006,11.173003761801994,10.995740840823455,10.880597188564822
72,18.89209066677958,18.608871435488275,18.398578823509315,18.34071202404775,17.576832384145796,17.006326591112032,16.601386880835236,16.08572232169573,15.976744156558686,15.662553913098325,15.433466684776914,15.366840574031244
73,18.35943468314827,18.00024320030113,18.04481794915561,17.443303554410324,16.98183748637806,16.405893225655458,16.073338054903093,15.53451359995394,15.402023412581293,15.114829087158784,14.914690674278038,14.82094998253525
74,16.59958020662836,16.279191553941356,16.285055081482174,15.631964634462033,15.275492949332712,14.695465163718051,14.392303076739559,13.85266362633548,13.721924774989322,13.43607173711391,13.24379008219556,13.14808167553945
75,20.256391138242982,19.838240997901245,19.675018500138542,19.591922547781294,19.161395637066214,18.262968626043424,17.809469499628452,17.280959775017347,17.104677504757714,16.84375714417826,16.61541455561388,16.536193551363354
76,20.316711794215976,19.903719044068975,19.780054430014506,19.602823000300052,19.259128964883455,18.28273886799771,17.81688107751233,17.2743361820121,17.08910815666944,16.82410000529114,16.591538587295908,16.508051967834934
77,13.759423648797323,13.48387183694477,13.37555190113179,12.651188284683993,12.425469669843057,11.843842643500063,11.617504301702104,11.002318726095844,10.885917968879395,10.556370568788667,10.367444489671456,10.253019492562562
78,19.789665803789156,19.385636551600804,19.286440593861652,19.089854044368288,18.77681621991983,17.840330815419655,17.387611314184326,16.869269088374267,16.691785849198546,16.440899317857365,16.21845053507611,16.138559428278413
79,20.995284003149205,20.576723826191554,20.452405676756268,20.266772254847083,19.92363518939769,18.93241890564812,18.46306040324289,17.903754526619938,17.71440386284081,17.43832302222505,17.198003029809314,17.111756855458285
80,18.438277437821903,18.075143802816868,18.011967419243366,17.632480079506088,17.005573136481576,16.39431076763692,16.023445526184716,15.435775445277113,15.30016930040575,14.973333070302067,14.733879987529413,14.651677878089739
81,19.324855536710274,19.019342197019252,18.80655966743355,18.732913581594403,17.896414120290476,17.295194335935236,16.87487498221665,16.302067554205564,16.181178472778097,15.827651026879533,15.571374437099056,15.49527002524072
82,19.62451139854151,19.2065678916407,18.990732411855486,18.99974006018904,18.473507059437523,17.62692878088434,17.175297191082585,16.648484483662656,16.485813327070183,16.211242909622218,15.980733734024248,15.904599866628942
83,19.28149942818329,18.980026119991926,18.78178727290836,18.694538928402007,17.868738569925075,17.281426108287697,16.86692568319669,16.31508409182078,16.200158327427747,15.861779885751124,15.616907900177546,15.544836661454545
84,19.461977546645443,19.131027233949613,18.851805280059068,18.871318172485093,18.16604042552155,17.47177780398492,17.038719063794098,16.50175383389304,16.385339073660493,16.059263380407806,15.824342795098815,15.75084771486756
85,19.08482325497618,18.696565859919293,18.491290244962588,18.48632099880583,17.959547677478152,17.200773500849138,16.77129452932989,16.26076696463076,16.11193222213955,15.83714356982087,15.611676279336848,15.540525980761771
86,20.232967210498977,19.92824601090957,19.76399313340135,19.637049443090454,18.853149374314757,18.294261226037655,17.89773253788862,17.374328892810773,17.262316510732337,16.94992495853081,16.71986735374749,16.651450112985003
87,19.691955018302338,19.382509711343786,19.13577919234994,19.119897951623695,18.47833700985393,17.846332474031573,17.43896330202725,16.9430669973534,16.835807104077478,16.536873152457712,16.320297361592317,16.25288505642314
88,15.27365173923046,14.956878899239186,14.919881019886706,14.269723632192504,14.016860977482128,13.450505048006132,13.193699690299516,12.642782293497746,12.533246047391273,12.229091518347559,12.05198051088982,11.948896868844631
89,19.63754282881269,19.226140938370968,19.046605121563026,18.996800898552756,18.529024284720563,17.699019601765652,17.25775250672073,16.73505083579178,16.570059491345003,16.301919787030677,16.072975764285683,15.997741216819463
90,18.203566309837072,17.846313033912054,17.82133211437001,17.359160449140152,16.83915597983312,16.2750539594957,15.93435317127858,15.396860248637596,15.265451838115027,14.977152232719913,14.767093429064577,14.684055336317437
91,15.907581303832998,15.582964826682622,15.571228289462677,14.86598010774425,14.608927778988395,14.0134231386497,13.75499633735169,13.18579449457157,13.072121287679721,12.76518551539412,12.585889086446457,12.475332524852686
92,19.605040083691815,19.27833819373937,19.141821215263427,18.956124235247394,18.20788082993515,17.634305214754853,17.242964947899214,16.699031013265728,16.578473494046197,16.26095917380453,16.025946311247115,15.954330992604026
93,20.11381790839314,19.810850214520467,19.582957145489676,19.53681597829079,18.82193090376365,18.204746329530334,17.791570011301573,17.266607111483808,17.155708743957558,16.83522722167395,16.604130504580816,16.534336609694787
94,20.262828679724404,19.91543730047176,19.779509386747613,19.506549024626516,19.4083537869099,18.362706932540235,17.908830620477843,17.384974789243614,17.204708866611128,16.954054330941077,16.73076827494218,16.64788747886299
95,19.38552044020402,19.097260581466916,18.87927755532392,18.809460552717766,18.016621630111725,17.44824711503024,17.041471750303295,16.494589623017298,16.378734326489248,16.042295145678956,15.797767341598659,15.726864341213236
96,19.13411362676768,18.837149431775366,18.627317372093117,18.56200133905743,17.732869807575117,17.146963502471323,16.731216314983307,16.181542511698346,16.06645688941535,15.728365078579792,15.482915422990748,15.410798998228463
97,15.943961290493602,15.604842434752289,15.584116202304326,14.881913309805352,14.60948056297179,13.986878901984149,13.714813977424075,13.111569760098691,12.988330064429805,12.658419826342007,12.462634058574134,12.349598718136924
98,18.28038873625821,18.002123427174883,17.818505348818817,17.71276210104397,16.96032206949446,16.43867020435611,16.05543992257594,15.560815326548571,15.455756000650817,15.160124480279233,14.942119406156971,14.879277760462337
99,16.86297017072429,16.524692939727267,16.5306256416008,15.939434069596025,15.519693873950205,14.960219453322825,14.63930937533593,14.101728381788568,13.969186930036702,13.679619032513166,13.480116421420904,13.388614389501397
100,18.651781518117673,18.35669522666771,18.198669715974592,18.022651502531883,17.33606112344763,16.8117232716649,16.443454064757375,15.928937805222303,15.812990050618899,15.515227999723127,15.293328453295686,15.227938895229588
101,17.92233319633726,17.60610868638515,17.34791558891255,17.342141305540142,16.664664207036445,16.006528647934523,15.586286211175631,15.068398873182167,14.95705866470013,14.64285462112285,14.416213140467192,14.346250408049778
102,20.445764600920462,20.05693332205288,19.90964201816924,19.835131450590605,19.39958236079489,18.636411680820707,18.215413911777972,17.72815259413732,17.573459886363576,17.323392984215204,17.10754095424913,17.03761168361381
103,19.93426036383459,19.538384243997765,19.41307545408045,19.125943702860695,18.95773790071968,17.836384596559427,17.35626337168678,16.773765336377828,16.5757423067939,16.289225029667115,16.04182872198475,15.948358216250782
104,16.930778125948557,16.615990384155566,16.602075472504225,15.976687164314933,15.626141913982732,15.060372708381218,14.760293520139792,14.227821691213014,14.098613987737652,13.814198929695875,13.623128837020332,13.529843157065676
