id,ra,dec,zml,zml_err,odds,model_classification,probnrel,probrel,probltg,probetg,probnrel_bin,probrel_bin,probltg_bin,probetg_bin,r_petro,g_auto,e_g_auto,r_auto,e_r_auto,u_auto,e_u_auto,i_auto,e_i_auto,z_auto,e_z_auto,prob_gal,prob_star,kron_radius,photoflag_r,fwhm_r,brightstarflag,a,b,fwhm,fwhm_n,q,distance_k4,distance_k5,distance_k10,density_k4,density_k5,density_k10,separation,PROB_GAL,J0378_auto,J0395_auto,J0410_auto,J0430_auto,J0515_auto,J0660_auto,J0861_auto,e_J0378_auto,e_J0395_auto,e_J0410_auto,e_J0430_auto,e_J0515_auto,e_J0660_auto,e_J0861_auto
iDR3.SPLUS-n03s18.018337,173.33117642056263,-3.02382209783796,0.144,0.015405,0.7915270000000001,ETG,0.3588695,0.62132895,0.03468007,0.9904613,0.0,1.0,0.0,1.0,16.617342,17.65987446284667,0.0508298799395561,16.71762212255939,0.0231051240116357,19.68275633553593,0.4256539046764374,16.316163782303516,0.0303607676178216,15.994786912720402,0.0356233716011047,0.99,0.0,6.102512,3,7.4521832,0,9.548922,5.9603777,6.2145762,3.067465,0.6241938,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.99,16.848291,18.306187,19.176815,17.791986,17.38025,16.633741,16.140066,0.04714793,0.29901946,0.5891402,0.16067044,0.089001,0.023788208,0.04515006
iDR3.SPLUS-n03s18.021483,173.67202714560375,-2.915963172419802,0.138,0.011496,0.854666,ETG,0.5295776,0.47599337,0.08247745,0.9714049,0.0,0.0,0.0,1.0,17.373308,18.27790607342608,0.0402728877961635,17.393555813510844,0.0199614018201828,20.287694877792774,0.337689608335495,16.87834519760409,0.0231468454003334,16.608732340747874,0.0283786281943321,1.0,0.0,4.9537253,2,3.9402251,0,4.842588,3.6512833,3.7959425,1.8736469,0.7539942,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.631943,19.178415,19.195282,18.989592,18.033037,17.23797,16.698658,0.27749482,0.30823103,0.2680025,0.21592857,0.07331755,0.019521235,0.034497097
iDR3.SPLUS-n03s18.021741,174.14362445245862,-2.9127350395047875,0.0705,0.072636,0.600758,ETG,0.7178042,0.3029884,0.041447446,0.9884509,1.0,0.0,0.0,1.0,17.98189,18.297605351109407,0.099380612373352,17.970318902177738,0.0806378871202468,19.391338198297987,0.3696258664131164,17.259131150694504,0.0786407887935638,17.29210233482611,0.1289917826652526,0.93,0.07,8.418815,3,36.336376,0,10.452781,3.5058374,36.336376,17.935345,0.3353976,0.191648723699345,0.2074681110651259,0.6752102880401661,231.84851113770287,247.2996384425272,46.69582803176407,0.0,0.93,18.944683,17.772089,20.504322,18.056515,19.597473,18.011284,17.071804,0.365926,0.21006522,2.2021148,0.2254129,0.7494042,0.09344358,0.11703557
iDR3.SPLUS-n03s18.023849,174.43862551646268,-2.864693278023844,0.12,0.006487,0.985865,ETG,0.25462478,0.71809846,0.050326984,0.98143804,0.0,1.0,0.0,1.0,16.20098,17.095766233254963,0.0217456351965665,16.195180378683805,0.0104029979556798,19.005578845810497,0.1624435633420944,15.746581215951622,0.0128467353060841,15.407876261685104,0.0147315310314297,1.0,0.0,4.884718,2,3.8261142,0,8.187165,5.5114737,3.6264467,1.7899851,0.67318463,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,18.825974,18.163685,18.16851,18.242762,16.590633,15.983876,15.463638,0.20630074,0.18935046,0.1660512,0.1727335,0.03136341,0.009713057,0.01739175
iDR3.SPLUS-n01s27.036634,186.4788947004169,0.202013418944347,0.1065,0.010697,0.944869,ETG,0.27723217,0.69808936,0.21817012,0.9090962,0.0,1.0,0.0,1.0,16.227804,17.240474165794826,0.0288641899824142,16.21902020233164,0.0121291410177946,18.866929283265545,0.1511413156986236,15.744042970738752,0.0115176541730761,15.506339118362543,0.0174655094742774,1.0,0.0,5.1786084,3,6.0993667,0,7.77996,5.6530743,6.022987,2.0452845,0.72661996,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,18.334171,17.568548,18.574432,17.619839,16.715132,16.07489,15.580674,0.14917439,0.12831438,0.29110295,0.11618191,0.04062644,0.011951941,0.023803327
iDR3.SPLUS-n03s22.001516,179.236127578646,-3.398892114276054,0.2275,0.0119,0.8987290000000001,ETG,0.52188987,0.4830992,0.11239865,0.95887953,0.0,0.0,0.0,1.0,17.32398,18.469873103601905,0.0662893652915954,17.35903822399732,0.0267549995332956,98.9607238825123,21.683088302612305,16.82859123973583,0.0241278186440467,16.429507139381943,0.0321575924754142,1.0,0.0,5.2771406,3,6.850311,0,5.520976,4.737413,6.2610874,2.0410733,0.85807526,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,99.0,20.471136,22.652338,18.661478,18.250978,17.21388,16.62092,21.05219,1.3881742,9.087295,0.2244222,0.124461055,0.0249515,0.045439042
iDR3.SPLUS-n02s25.038453,183.74395530538712,-1.1441682125717585,0.1669999999999999,0.01165,0.88856,ETG,0.7235155,0.29698753,0.12968019,0.9553662,1.0,0.0,0.0,1.0,17.40187,18.38001639280292,0.0546688437461853,17.396150133191586,0.0208216328173875,20.87640526738147,0.5144346356391907,16.973641976136303,0.0186862032860517,16.632338145805974,0.0244399886578321,1.0,0.0,4.5990677,2,3.295823,0,3.7990909,3.4044394,3.2103171,1.5621064,0.89611953,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,20.013153,19.65532,19.016815,19.187569,18.053131,17.295803,16.7252,0.389907,0.47411233,0.2510985,0.28429115,0.08240195,0.021451274,0.03366389
iDR3.SPLUS-n03s22.009610,179.2506531605111,-3.184029112821205,0.1655,0.007404,0.975684,ETG,0.43370593,0.56169206,0.014489295,0.9942578,0.0,1.0,0.0,1.0,16.802658,17.88053269972873,0.0318700559437274,16.804425694087772,0.0136711141094565,20.12731934092344,0.2984428107738495,16.31806820571094,0.0126197887584567,16.018178210350314,0.018246304243803,1.0,0.0,4.489559,2,4.8966184,0,5.2958646,4.6059465,4.906602,1.59952,0.8697251,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.691385,19.166468,18.982742,18.449785,17.475378,16.649591,16.08033,0.31574875,0.34285653,0.25322363,0.15081519,0.050593294,0.012802102,0.023034202
iDR3.SPLUS-n01s27.004153,186.68715608090096,-0.6216372637675023,0.1515,0.0093879999999999,0.910466,ETG,0.26600975,0.7071925,0.031838384,0.9898399,0.0,1.0,0.0,1.0,16.3193,17.281869018890493,0.0386146828532218,16.34787860943498,0.0169441122561693,18.94253099524053,0.1987299174070358,15.913498734371712,0.0171110145747661,15.68283068097595,0.0265392940491437,0.98,0.02,5.8482046,2,8.228369,0,8.946511,6.4194202,8.211337,2.788404,0.71753335,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.98,18.329468,19.426243,18.565601,17.835432,16.928928,16.25195,15.625482,0.1829149,0.86797225,0.37651846,0.18404578,0.06370081,0.017411036,0.032084815
iDR3.SPLUS-n02s25.038592,183.75001727571137,-1.1443506511769823,0.1715,0.013328,0.8776860000000001,ETG,0.49948168,0.5025076,0.025993224,0.9908999,0.0,0.0,0.0,1.0,16.962248,18.07290313879939,0.0452932529151439,17.013714111211243,0.0161830633878707,18.661901868509545,0.0748199597001075,16.529824601369075,0.0137454699724912,16.278121584736272,0.0194153189659118,1.0,0.0,4.5996056,2,3.2046654,0,4.383757,3.556233,3.0990036,1.5079423,0.81122947,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.530117,19.387428,19.94938,18.509987,17.786875,16.847572,16.301414,0.27467602,0.40665063,0.6469619,0.16778418,0.07084935,0.015762292,0.02514158
iDR3.SPLUS-n02s25.041111,182.92528811626408,-1.092354267784174,0.0795,0.008735,0.985632,ETG,0.29292256,0.68400395,0.06068505,0.9794788,0.0,1.0,0.0,1.0,16.40577,17.306202967954878,0.0278256200253963,16.415341827400233,0.0114766741171479,19.312421374993832,0.1609915941953659,16.000998710811132,0.0105680720880627,15.713472711099753,0.0144351432099938,1.0,0.0,4.3875446,2,3.629698,0,6.1875005,4.2767496,3.5345128,1.7198565,0.6911918,0.7288771271045156,1.3759970031787805,2.163667324841242,19.725031720798967,6.918331866491654,5.596099008606375,0.0,1.0,18.632692,18.500547,18.313486,18.108036,17.030546,16.3163,15.86648,0.14447296,0.2157891,0.17820925,0.14310536,0.043923896,0.011854976,0.02099145
iDR3.SPLUS-n01s27.006362,186.3535168533408,-0.5537007485995831,0.142,0.0080299999999999,0.96787,ETG,0.36456984,0.62241566,0.0369787,0.98910004,0.0,1.0,0.0,1.0,16.88154,17.8088489731742,0.0353564843535423,16.919175262564973,0.0165835469961166,20.073752043370177,0.3172508478164673,16.408592856302814,0.0153807578608393,16.172123901589416,0.0234533939510583,1.0,0.0,4.9149656,2,4.740218,0,5.478014,4.6605935,4.651645,1.5796046,0.8507816,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.25671,19.678093,18.651482,18.738085,17.450481,16.71424,16.17523,0.24147807,0.6152175,0.22699992,0.2346634,0.05783127,0.015503785,0.029979404
iDR3.SPLUS-n02s25.043397,182.7865322801207,-1.021259320344193,0.179,0.010486,0.892803,ETG,0.32437098,0.65715814,0.01775663,0.99398357,0.0,1.0,0.0,1.0,16.46825,17.58582417172657,0.0400538742542266,16.4960054621288,0.0136174261569976,19.57150842507063,0.2267903685569763,15.974582494607658,0.0114554986357688,15.655979361884468,0.0152336424216628,0.99,0.01,4.7015324,2,3.9500632,0,5.9396634,4.849743,4.0639353,1.9774679,0.8165013,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.99,18.874594,18.67274,18.745007,18.261467,17.171394,16.359894,15.78508,0.19982621,0.2802433,0.29656997,0.18448953,0.05566736,0.013578816,0.02166413
iDR3.SPLUS-n02n22.026514,179.3840301958559,1.2637476132605197,0.219,0.015333,0.8242649999999999,ETG,0.73998684,0.28014696,0.09126581,0.9648385,1.0,0.0,0.0,1.0,17.588074,18.805131928021293,0.0672431290149688,17.69980922076147,0.0290191248059272,20.33443691442901,0.3252220153808594,17.20745745802351,0.027626659721136,16.844842336391952,0.0380778312683105,1.0,0.0,5.12871,2,4.008881,0,4.595133,3.2988884,3.7321088,1.6624904,0.7179093,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.943579,21.03142,19.583786,20.079819,18.500366,17.528883,16.942825,0.37185967,1.7678114,0.39342067,0.61101687,0.115931645,0.027255606,0.05029303
